algorithm,keygen_time_ms,encap_time_ms,decap_time_ms,ciphertext_length,shared_secret_length,overhead_bytes,total_time_ms,correctness,type,text_size_kb,text_length_bytes,run_id,timestamp,security_level_bits,security_level
Classic-McEliece-348864,67.00539588928223,0.03361701965332031,16.920089721679688,96,32,64,83.95910263061523,True,KEM,124.2,127180,1238,2025-04-07T11:34:58.510808,128,1
Classic-McEliece-348864f,31.02898597717285,0.11897087097167969,16.871929168701172,96,32,64,48.0198860168457,True,KEM,124.2,127180,1238,2025-04-07T11:34:58.558844,128,1
Classic-McEliece-460896,155.80320358276367,0.0457763671875,32.935142517089844,156,32,124,188.78412246704102,True,KEM,124.2,127180,1238,2025-04-07T11:34:58.747652,192,2
Classic-McEliece-460896f,84.80691909790039,0.06198883056640625,32.82618522644043,156,32,124,117.69509315490723,True,KEM,124.2,127180,1238,2025-04-07T11:34:58.865365,192,2
Classic-McEliece-6688128,561.6049766540527,0.102996826171875,63.104867935180664,208,32,176,624.8128414154053,True,KEM,124.2,127180,1238,2025-04-07T11:34:59.490205,256,3
Classic-McEliece-6688128f,133.73470306396484,0.11610984802246094,63.30585479736328,208,32,176,197.1566677093506,True,KEM,124.2,127180,1238,2025-04-07T11:34:59.687387,256,3
Classic-McEliece-6960119,290.2982234954834,0.659942626953125,61.32984161376953,194,32,162,352.28800773620605,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.039684,256,3
Classic-McEliece-6960119f,129.45890426635742,0.6439685821533203,60.99200248718262,194,32,162,191.09487533569336,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.230789,256,3
Classic-McEliece-8192128,418.4610843658447,0.11992454528808594,77.42595672607422,208,32,176,496.00696563720703,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.726825,256,3
Classic-McEliece-8192128f,140.79999923706055,0.09489059448242188,76.96199417114258,208,32,176,217.85688400268555,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.944710,256,3
HQC-128,0.45299530029296875,0.90789794921875,1.3911724090576172,4433,64,4369,2.752065658569336,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.947471,128,1
HQC-192,1.3401508331298828,2.667665481567383,4.045248031616211,8978,64,8914,8.053064346313477,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.955538,192,2
HQC-256,2.5320053100585938,5.008935928344727,7.468938827514648,14421,64,14357,15.009880065917969,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970555,256,3
Kyber512,0.014066696166992188,0.010967254638671875,0.0069141387939453125,768,32,736,0.031948089599609375,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970595,128,1
Kyber768,0.014066696166992188,0.015020370483398438,0.010967254638671875,1088,32,1056,0.0400543212890625,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970642,192,2
Kyber1024,0.015974044799804688,0.019311904907226562,0.013828277587890625,1568,32,1536,0.049114227294921875,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970697,256,3
ML-KEM-512,0.012636184692382812,0.012159347534179688,0.013113021850585938,768,32,736,0.03790855407714844,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970742,128,1
ML-KEM-768,0.015974044799804688,0.016927719116210938,0.0171661376953125,1088,32,1056,0.050067901611328125,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970799,192,2
ML-KEM-1024,0.024080276489257812,0.02574920654296875,0.026226043701171875,1568,32,1536,0.07605552673339844,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.970882,256,3
sntrup761,1.734018325805664,0.06794929504394531,0.11610984802246094,1039,32,1007,1.9180774688720703,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.972806,128,1
FrodoKEM-640-AES,0.20885467529296875,0.3440380096435547,0.3342628479003906,9720,16,9704,0.8871555328369141,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.973700,128,1
FrodoKEM-640-SHAKE,1.2319087982177734,1.3408660888671875,1.3551712036132812,9720,16,9704,3.927946090698242,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.977641,128,1
FrodoKEM-976-AES,0.4258155822753906,0.6868839263916016,0.6451606750488281,15744,24,15720,1.7578601837158203,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.979405,192,2
FrodoKEM-976-SHAKE,2.691984176635742,3.078937530517578,2.9799938201904297,15744,24,15720,8.75091552734375,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.988162,192,2
FrodoKEM-1344-AES,0.6890296936035156,1.1980533599853516,1.1010169982910156,21632,32,21600,2.988100051879883,True,KEM,124.2,127180,1238,2025-04-07T11:35:00.991213,256,3
FrodoKEM-1344-SHAKE,4.819154739379883,5.426883697509766,5.408048629760742,21632,32,21600,15.65408706665039,True,KEM,124.2,127180,1238,2025-04-07T11:35:01.006874,256,3
BIKE-L1,6.10804557800293,0.35881996154785156,4.766225814819336,1573,32,1541,11.233091354370117,True,KEM,124.3,127283,1239,2025-04-07T11:35:05.632253,128,1
BIKE-L3,18.988847732543945,1.0292530059814453,14.866828918457031,3115,32,3083,34.88492965698242,True,KEM,124.3,127283,1239,2025-04-07T11:35:05.667152,192,2
BIKE-L5,48.01487922668457,2.546072006225586,36.90385818481445,5154,32,5122,87.46480941772461,True,KEM,124.3,127283,1239,2025-04-07T11:35:05.754627,256,3
Classic-McEliece-348864,157.07683563232422,0.04315376281738281,16.803979873657227,96,32,64,173.92396926879883,True,KEM,124.3,127283,1239,2025-04-07T11:35:05.928964,128,1
Classic-McEliece-348864f,29.53314781188965,0.030994415283203125,16.768932342529297,96,32,64,46.33307456970215,True,KEM,124.3,127283,1239,2025-04-07T11:35:05.975315,128,1
Classic-McEliece-460896,85.42394638061523,0.08797645568847656,34.072160720825195,156,32,124,119.5840835571289,True,KEM,124.3,127283,1239,2025-04-07T11:35:06.094915,192,2
Classic-McEliece-460896f,86.68684959411621,0.10204315185546875,33.22887420654297,156,32,124,120.01776695251465,True,KEM,124.3,127283,1239,2025-04-07T11:35:06.214959,192,2
Classic-McEliece-6688128,218.8560962677002,0.12969970703125,63.320159912109375,208,32,176,282.3059558868408,True,KEM,124.3,127283,1239,2025-04-07T11:35:06.497311,256,3
Classic-McEliece-6688128f,133.58020782470703,0.11587142944335938,63.121795654296875,208,32,176,196.81787490844727,True,KEM,124.3,127283,1239,2025-04-07T11:35:06.694441,256,3
Classic-McEliece-6960119,532.433032989502,0.7188320159912109,65.69099426269531,194,32,162,598.8428592681885,True,KEM,124.3,127283,1239,2025-04-07T11:35:07.293302,256,3
Classic-McEliece-6960119f,131.75201416015625,0.6330013275146484,60.99891662597656,194,32,162,193.38393211364746,True,KEM,124.3,127283,1239,2025-04-07T11:35:07.486706,256,3
Classic-McEliece-8192128,419.45910453796387,0.09799003601074219,77.61526107788086,208,32,176,497.17235565185547,True,KEM,124.3,127283,1239,2025-04-07T11:35:07.983928,256,3
Classic-McEliece-8192128f,140.67888259887695,0.1251697540283203,77.16989517211914,208,32,176,217.9739475250244,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.202372,256,3
HQC-128,0.4591941833496094,0.9188652038574219,1.3802051544189453,4433,64,4369,2.7582645416259766,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.205149,128,1
HQC-192,1.3399124145507812,2.7022361755371094,4.006862640380859,8978,64,8914,8.04901123046875,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.213206,192,2
HQC-256,2.4471282958984375,4.884958267211914,7.378101348876953,14421,64,14357,14.710187911987305,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.227928,256,3
Kyber512,0.010967254638671875,0.010967254638671875,0.008106231689453125,768,32,736,0.030040740966796875,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.227965,128,1
Kyber768,0.013113021850585938,0.02002716064453125,0.010967254638671875,1088,32,1056,0.04410743713378906,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.228015,192,2
Kyber1024,0.015974044799804688,0.01811981201171875,0.014066696166992188,1568,32,1536,0.048160552978515625,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.228069,256,3
ML-KEM-512,0.012159347534179688,0.011920928955078125,0.010967254638671875,768,32,736,0.03504753112792969,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.228111,128,1
ML-KEM-768,0.015020370483398438,0.016927719116210938,0.0171661376953125,1088,32,1056,0.049114227294921875,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.228165,192,2
ML-KEM-1024,0.0209808349609375,0.022649765014648438,0.024080276489257812,1568,32,1536,0.06771087646484375,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.228245,256,3
sntrup761,1.6977787017822266,0.07224082946777344,0.1239776611328125,1039,32,1007,1.8939971923828125,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.230145,128,1
FrodoKEM-640-AES,0.19979476928710938,0.32806396484375,0.3139972686767578,9720,16,9704,0.8418560028076172,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.231001,128,1
FrodoKEM-640-SHAKE,1.2121200561523438,1.361846923828125,1.3990402221679688,9720,16,9704,3.9730072021484375,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.234980,128,1
FrodoKEM-976-AES,0.4239082336425781,0.7231235504150391,0.6611347198486328,15744,24,15720,1.80816650390625,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.236795,192,2
FrodoKEM-976-SHAKE,2.7990341186523438,3.095865249633789,2.991199493408203,15744,24,15720,8.886098861694336,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.245687,192,2
FrodoKEM-1344-AES,0.6630420684814453,1.1589527130126953,1.09100341796875,21632,32,21600,2.9129981994628906,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.248608,256,3
FrodoKEM-1344-SHAKE,4.818916320800781,5.403995513916016,5.363941192626953,21632,32,21600,15.58685302734375,True,KEM,124.3,127283,1239,2025-04-07T11:35:08.264203,256,3
BIKE-L1,6.103992462158203,0.34308433532714844,4.755973815917969,1573,32,1541,11.20305061340332,True,KEM,124.4,127385,1240,2025-04-07T11:35:12.861218,128,1
BIKE-L3,18.972158432006836,1.024007797241211,14.87588882446289,3115,32,3083,34.87205505371094,True,KEM,124.4,127385,1240,2025-04-07T11:35:12.896098,192,2
BIKE-L5,48.42996597290039,2.5589466094970703,37.0640754699707,5154,32,5122,88.05298805236816,True,KEM,124.4,127385,1240,2025-04-07T11:35:12.984157,256,3
Classic-McEliece-348864,92.85974502563477,0.4680156707763672,17.362356185913086,96,32,64,110.69011688232422,True,KEM,124.4,127385,1240,2025-04-07T11:35:13.094862,128,1
Classic-McEliece-348864f,29.65712547302246,0.041961669921875,16.770124435424805,96,32,64,46.46921157836914,True,KEM,124.4,127385,1240,2025-04-07T11:35:13.141350,128,1
Classic-McEliece-460896,443.20201873779297,0.04792213439941406,32.84883499145508,156,32,124,476.09877586364746,True,KEM,124.4,127385,1240,2025-04-07T11:35:13.617466,192,2
Classic-McEliece-460896f,84.94806289672852,0.053882598876953125,32.80520439147949,156,32,124,117.80714988708496,True,KEM,124.4,127385,1240,2025-04-07T11:35:13.735286,192,2
Classic-McEliece-6688128,218.6751365661621,0.10609626770019531,63.133955001831055,208,32,176,281.91518783569336,True,KEM,124.4,127385,1240,2025-04-07T11:35:14.017227,256,3
Classic-McEliece-6688128f,133.52704048156738,0.1010894775390625,63.066959381103516,208,32,176,196.69508934020996,True,KEM,124.4,127385,1240,2025-04-07T11:35:14.214290,256,3
Classic-McEliece-6960119,451.2367248535156,0.6301403045654297,61.19394302368164,194,32,162,513.0608081817627,True,KEM,124.4,127385,1240,2025-04-07T11:35:14.727361,256,3
Classic-McEliece-6960119f,129.37402725219727,0.6306171417236328,61.54012680053711,194,32,162,191.544771194458,True,KEM,124.4,127385,1240,2025-04-07T11:35:14.918920,256,3
Classic-McEliece-8192128,140.3028964996338,0.09584426879882812,77.5601863861084,208,32,176,217.95892715454102,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.136903,256,3
Classic-McEliece-8192128f,140.48004150390625,0.09894371032714844,77.40402221679688,208,32,176,217.98300743103027,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.355104,256,3
HQC-128,0.4601478576660156,0.90789794921875,1.3802051544189453,4433,64,4369,2.748250961303711,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.357868,128,1
HQC-192,1.341104507446289,2.6628971099853516,4.040002822875977,8978,64,8914,8.044004440307617,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.365918,192,2
HQC-256,2.4428367614746094,4.876852035522461,7.473230361938477,14421,64,14357,14.792919158935547,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380726,256,3
Kyber512,0.013113021850585938,0.011920928955078125,0.0069141387939453125,768,32,736,0.031948089599609375,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380765,128,1
Kyber768,0.014066696166992188,0.014781951904296875,0.011205673217773438,1088,32,1056,0.0400543212890625,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380811,192,2
Kyber1024,0.015974044799804688,0.018835067749023438,0.0152587890625,1568,32,1536,0.050067901611328125,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380867,256,3
ML-KEM-512,0.012159347534179688,0.013113021850585938,0.011920928955078125,768,32,736,0.03719329833984375,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380910,128,1
ML-KEM-768,0.015974044799804688,0.016927719116210938,0.0171661376953125,1088,32,1056,0.050067901611328125,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.380966,192,2
ML-KEM-1024,0.023126602172851562,0.024080276489257812,0.02574920654296875,1568,32,1536,0.07295608520507812,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.381046,256,3
sntrup761,1.7261505126953125,0.06580352783203125,0.11920928955078125,1039,32,1007,1.911163330078125,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.382965,128,1
FrodoKEM-640-AES,0.2009868621826172,0.35691261291503906,0.3161430358886719,9720,16,9704,0.8740425109863281,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.383847,128,1
FrodoKEM-640-SHAKE,1.2099742889404297,1.3632774353027344,1.3477802276611328,9720,16,9704,3.921031951904297,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.387777,128,1
FrodoKEM-976-AES,0.4150867462158203,0.7090568542480469,0.6580352783203125,15744,24,15720,1.7821788787841797,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.389570,192,2
FrodoKEM-976-SHAKE,2.7163028717041016,3.0579566955566406,3.0739307403564453,15744,24,15720,8.848190307617188,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.398425,192,2
FrodoKEM-1344-AES,0.6830692291259766,1.15203857421875,1.138925552368164,21632,32,21600,2.9740333557128906,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.401407,256,3
FrodoKEM-1344-SHAKE,4.9419403076171875,5.426168441772461,5.392789840698242,21632,32,21600,15.76089859008789,True,KEM,124.4,127385,1240,2025-04-07T11:35:15.417175,256,3
BIKE-L1,6.150722503662109,0.3592967987060547,4.771709442138672,1573,32,1541,11.281728744506836,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.022388,128,1
BIKE-L3,19.035816192626953,1.0199546813964844,14.854192733764648,3115,32,3083,34.909963607788086,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.057306,192,2
BIKE-L5,47.73092269897461,2.549886703491211,37.22119331359863,5154,32,5122,87.50200271606445,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.144821,256,3
Classic-McEliece-348864,29.491901397705078,0.03314018249511719,16.76797866821289,96,32,64,46.293020248413086,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.191123,128,1
Classic-McEliece-348864f,29.870033264160156,0.03695487976074219,17.39192008972168,96,32,64,47.29890823364258,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.238595,128,1
Classic-McEliece-460896,83.96697044372559,0.07891654968261719,33.0350399017334,156,32,124,117.0809268951416,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.355693,192,2
Classic-McEliece-460896f,84.78283882141113,0.06723403930664062,32.858848571777344,156,32,124,117.70892143249512,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.473423,192,2
Classic-McEliece-6688128,218.580961227417,0.11992454528808594,63.78889083862305,208,32,176,282.4897766113281,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.755927,256,3
Classic-McEliece-6688128f,137.0072364807129,0.1659393310546875,64.84484672546387,208,32,176,202.01802253723145,True,KEM,124.5,127488,1241,2025-04-07T11:35:20.957964,256,3
Classic-McEliece-6960119,298.6788749694824,0.698089599609375,60.984134674072266,194,32,162,360.36109924316406,True,KEM,124.5,127488,1241,2025-04-07T11:35:21.318731,256,3
Classic-McEliece-6960119f,129.41694259643555,0.6480216979980469,61.0198974609375,194,32,162,191.0848617553711,True,KEM,124.5,127488,1241,2025-04-07T11:35:21.509836,256,3
Classic-McEliece-8192128,1068.7520503997803,0.12111663818359375,77.02898979187012,208,32,176,1145.902156829834,True,KEM,124.5,127488,1241,2025-04-07T11:35:22.655754,256,3
